network, seed, final_loss_mean, training_time, total_ite, mse

sinckan,0,374.0184326171875,2333.192512989044,100000,365.9991760253906
sinckan,0,299.4300231933594,2302.393488407135,100000,294.9256286621094
sinckan,0,286.1471862792969,2302.17219209671,100000,284.66583251953125
sinckan,0,314.59698486328125,2452.9628250598907,100000,314.9181213378906
sinckan,0,316.28466796875,3947.3505613803864,100000,347.0119323730469
sinckan,0,388.58642578125,7635.346992969513,100000,371.4018249511719
sinckan,0,419.5647277832031,10938.858386516571,100000,398.67926025390625
sinckan,0,417.844482421875,14863.848408222198,100000,363.3119201660156
sinckan,0,286.1471862792969,12796.001816034317,100000,296.2115783691406
sinckan,0,406.2037658691406,18997.374009370804,100000,486.83502197265625
modifiedmlp,0,264.07568359375,10748.894216537476,100000,270.9300537109375
modifiedmlp,0,273.88250732421875,7804.03452205658,100000,287.6301574707031
modifiedmlp,0,270.04150390625,11668.113840818405,100000,286.5435791015625
modifiedmlp,0,288.2224426269531,19445.7591445446,100000,281.97393798828125
modifiedmlp,0,265.9848327636719,26801.947164535522,100000,280.40582275390625
modifiedmlp,0,319.1954040527344,40187.68640637398,100000,383.2768249511719
sinckan,0,3.997861242055478e-08,6322.582332372665,100000,5.182054607644204e-08,0.005366939585655928
modifiedmlp,0,9.22145659387752e-07,6930.631880044937,100000,7.025247441561078e-07,0.019760891795158386
modifiedmlp,0,4.2201736549785096e-10,192829.69555354118,1900000,4.314078816403111e-10,0.00047295415424741805
sinckan,0,1.4756132427073965e-10,200704.64683246613,1900000,1.7352158598882284e-10,0.0002999519929289818
modifiedmlp,0,2.3342429358308436e-06,6990.210955381393,100000,4.258060926076723e-06,0.002078066347166896
sinckan,0,2.124866796293645e-06,19219.241607427597,250000,0.00010804733028635383,0.010476440191268921